letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;tmdb_id;release_year;duration;avg_rating;letterboxd_url;tmdb_url;imdb_url
1023411;Black Mirror: Joan Is Awful;Black Mirror: Joan Is Awful (2023);black-mirror-joan-is-awful;1135539;2023;56;3.14;https://letterboxd.com/film/black-mirror-joan-is-awful/;https://www.themoviedb.org/movie/1135539/;http://www.imdb.com/title/tt20247352/maindetails
1014180;Arnold;Arnold (2023);arnold-2023;226135;2023;192;3.69;https://letterboxd.com/film/arnold-2023/;https://www.themoviedb.org/tv/226135/;http://www.imdb.com/title/tt27713897/maindetails
497631;Spider-Man: Across the Spider-Verse;Spider-Man: Across the Spider-Verse (2023);spider-man-across-the-spider-verse;569094;2023;140;4.44;https://letterboxd.com/film/spider-man-across-the-spider-verse/;https://www.themoviedb.org/movie/569094/;http://www.imdb.com/title/tt9362722/maindetails
822093;Anatomy of a Fall;Anatomy of a Fall (2023);anatomy-of-a-fall;915935;2023;151;4.14;https://letterboxd.com/film/anatomy-of-a-fall/;https://www.themoviedb.org/movie/915935/;http://www.imdb.com/title/tt17009710/maindetails
1045447;Depp V Heard;Depp V Heard (2023);depp-v-heard;227381;2023;141;2.55;https://letterboxd.com/film/depp-v-heard/;https://www.themoviedb.org/tv/227381/;http://www.imdb.com/title/tt27541298/maindetails
969350;How to Have Sex;How to Have Sex (2023);how-to-have-sex;1075175;2023;91;3.61;https://letterboxd.com/film/how-to-have-sex/;https://www.themoviedb.org/movie/1075175/;http://www.imdb.com/title/tt22890246/maindetails
320481;Fast X;Fast X (2023);fast-x;385687;2023;142;2.47;https://letterboxd.com/film/fast-x/;https://www.themoviedb.org/movie/385687/;http://www.imdb.com/title/tt5433140/maindetails
379711;Guardians of the Galaxy Vol. 3;Guardians of the Galaxy Vol. 3 (2023);guardians-of-the-galaxy-vol-3;447365;2023;150;3.96;https://letterboxd.com/film/guardians-of-the-galaxy-vol-3/;https://www.themoviedb.org/movie/447365/;http://www.imdb.com/title/tt6791350/maindetails
793865;Guy Ritchie's The Covenant;Guy Ritchie's The Covenant (2023);guy-ritchies-the-covenant;882569;2023;123;3.53;https://letterboxd.com/film/guy-ritchies-the-covenant/;https://www.themoviedb.org/movie/882569/;http://www.imdb.com/title/tt4873118/maindetails
575258;Renfield;Renfield (2023);renfield;649609;2023;93;2.87;https://letterboxd.com/film/renfield/;https://www.themoviedb.org/movie/649609/;http://www.imdb.com/title/tt11358390/maindetails
995847;Waco: American Apocalypse;Waco: American Apocalypse (2023);waco-american-apocalypse;220229;2023;140;3.27;https://letterboxd.com/film/waco-american-apocalypse/;https://www.themoviedb.org/tv/220229/;http://www.imdb.com/title/tt26687196/maindetails
989043;MH370: The Plane That Disappeared;MH370: The Plane That Disappeared (2023);mh370-the-plane-that-disappeared;220499;2023;159;2.71;https://letterboxd.com/film/mh370-the-plane-that-disappeared/;https://www.themoviedb.org/tv/220499/;http://www.imdb.com/title/tt26739535/maindetails
530882;John Wick: Chapter 4;John Wick: Chapter 4 (2023);john-wick-chapter-4;603692;2023;170;3.92;https://letterboxd.com/film/john-wick-chapter-4/;https://www.themoviedb.org/movie/603692/;http://www.imdb.com/title/tt10366206/maindetails
982767;Murdaugh Murders: A Southern Scandal;Murdaugh Murders: A Southern Scandal (2023);murdaugh-murders-a-southern-scandal;218530;2023;250;3.3;https://letterboxd.com/film/murdaugh-murders-a-southern-scandal/;https://www.themoviedb.org/tv/218530/;http://www.imdb.com/title/tt26340238/maindetails
721333;Cocaine Bear;Cocaine Bear (2023);cocaine-bear;804150;2023;95;2.7;https://letterboxd.com/film/cocaine-bear/;https://www.themoviedb.org/movie/804150/;http://www.imdb.com/title/tt14209916/maindetails
887491;Reality;Reality (2023);reality-2023;985617;2023;83;3.27;https://letterboxd.com/film/reality-2023/;https://www.themoviedb.org/movie/985617/;http://www.imdb.com/title/tt24068064/maindetails
809219;Passages;Passages (2023);passages-2023;898673;2023;92;3.49;https://letterboxd.com/film/passages-2023/;https://www.themoviedb.org/movie/898673/;http://www.imdb.com/title/tt16252698/maindetails
591053;Past Lives;Past Lives (2023);past-lives;666277;2023;106;4.17;https://letterboxd.com/film/past-lives/;https://www.themoviedb.org/movie/666277/;http://www.imdb.com/title/tt13238346/maindetails
954498;The Deepest Breath;The Deepest Breath (2023);the-deepest-breath;1058647;2023;108;3.75;https://letterboxd.com/film/the-deepest-breath/;https://www.themoviedb.org/movie/1058647/;http://www.imdb.com/title/tt24132732/maindetails
945941;Take Your Pills: Xanax;Take Your Pills: Xanax (2022);take-your-pills-xanax;1049046;2022;90;2.89;https://letterboxd.com/film/take-your-pills-xanax/;https://www.themoviedb.org/movie/1049046/;http://www.imdb.com/title/tt23556804/maindetails
946722;Pepsi, Where's My Jet?;Pepsi, Where's My Jet? (2022);pepsi-wheres-my-jet;213134;2022;158;3.25;https://letterboxd.com/film/pepsi-wheres-my-jet/;https://www.themoviedb.org/tv/213134/;http://www.imdb.com/title/tt23022276/maindetails
717038;Stutz;Stutz (2022);stutz;799375;2022;96;3.71;https://letterboxd.com/film/stutz/;https://www.themoviedb.org/movie/799375/;http://www.imdb.com/title/tt21819228/maindetails
951227;Ancient Apocalypse;Ancient Apocalypse (2022);ancient-apocalypse-2022;1054695;2022;244;3.24;https://letterboxd.com/film/ancient-apocalypse-2022/;https://www.themoviedb.org/movie/1054695/;
521323;The Menu;The Menu (2022);the-menu-2022;593643;2022;107;3.53;https://letterboxd.com/film/the-menu-2022/;https://www.themoviedb.org/movie/593643/;http://www.imdb.com/title/tt9764362/maindetails
586723;Glass Onion;Glass Onion (2022);glass-onion;661374;2022;140;3.43;https://letterboxd.com/film/glass-onion/;https://www.themoviedb.org/movie/661374/;http://www.imdb.com/title/tt11564570/maindetails
744480;About Fate;About Fate (2022);about-fate;828613;2022;100;2.91;https://letterboxd.com/film/about-fate/;https://www.themoviedb.org/movie/828613/;http://www.imdb.com/title/tt14456350/maindetails
546347;Don't Worry Darling;Don't Worry Darling (2022);dont-worry-darling;619730;2022;123;2.99;https://letterboxd.com/film/dont-worry-darling/;https://www.themoviedb.org/movie/619730/;http://www.imdb.com/title/tt10731256/maindetails
598882;The Banshees of Inisherin;The Banshees of Inisherin (2022);the-banshees-of-inisherin;674324;2022;114;4.11;https://letterboxd.com/film/the-banshees-of-inisherin/;https://www.themoviedb.org/movie/674324/;http://www.imdb.com/title/tt11813216/maindetails
853822;Pearl;Pearl (2022);pearl-2022;949423;2022;102;3.72;https://letterboxd.com/film/pearl-2022/;https://www.themoviedb.org/movie/949423/;http://www.imdb.com/title/tt18925334/maindetails
