name;link;character_name;film_id;film_title
John Wilmot;/actor/john-wilmot/;Gordon Greene;353117;Get Out
Caren L. Larkey;/actor/caren-l-larkey/;Emily Greene;353117;Get Out
Julie Ann Doan;/actor/julie-ann-doan/;April Dray;353117;Get Out
Rutherford Cravens;/actor/rutherford-cravens-1/;Parker Dray;353117;Get Out
Geraldine Singer;/actor/geraldine-singer/;Philomena King;353117;Get Out
Yasuhiko Oyama;/actor/yasuhiko-oyama/;Hiroki Tanaka;353117;Get Out
Richard Herd;/actor/richard-herd/;Roman Armitage;353117;Get Out
Erika Alexander;/actor/erika-alexander/;Detective Latoya;353117;Get Out
Jeronimo Spinx;/actor/jeronimo-spinx/;Detective Drake;353117;Get Out
Ian Casselberry;/actor/ian-casselberry/;Detective Garcia;353117;Get Out
Trey Burvant;/actor/trey-burvant/;Officer Ryan;353117;Get Out
John Donohue;/actor/john-donohue-2/;Police Officer #1;353117;Get Out
Sean Paul Braud;/actor/sean-paul-braud/;Police Officer #2;353117;Get Out
Zailand Adams;/actor/zailand-adams/;Chris 11 year old;353117;Get Out
Keegan-Michael Key;/actor/keegan-michael-key-1/;NCAA Prospect (uncredited);353117;Get Out
Jordan Peele;/actor/jordan-peele/;Dying Deer / UNCF PSA Narrator (voice) (uncredited);353117;Get Out
Evan Shafran;/actor/evan-shafran/;Travel Passenger (uncredited);353117;Get Out
Tahj Vaughans;/actor/tahj-vaughans/;Dead Ex Boyfriend (uncredited);353117;Get Out
Bradley Hoover;/actor/bradley-hoover/;White Partygoer (uncredited);353117;Get Out
N.T. Rama Rao Jr.;/actor/ntr-3/;Komaram Bheem;508037;RRR
Ram Charan;/actor/ram-charan/;Alluri Sitarama Raju;508037;RRR
Olivia Morris;/actor/olivia-morris-1/;Jennifer 'Jenny' Buxton;508037;RRR
Ray Stevenson;/actor/ray-stevenson/;Scott Buxton;508037;RRR
Alison Doody;/actor/alison-doody/;Cassandra Buxton;508037;RRR
Ajay Devgn;/actor/ajay-devgn/;Alluri Venkatarama Raju;508037;RRR
Alia Bhatt;/actor/alia-bhatt/;Sita;508037;RRR
Samuthirakani;/actor/samuthirakani-1/;Alluri Venkateshwarulu;508037;RRR
Twinkle Sharma;/actor/twinkle-sharma/;Malli;508037;RRR
Shriya Saran;/actor/shriya-saran/;Alluri Sarojini;508037;RRR
Chatrapathi Sekhar;/actor/chatrapathi-sekhar/;Jangu;508037;RRR
Makrand Deshpande;/actor/makrand-deshpande/;Peddanna;508037;RRR
Rahul Ramakrishna;/actor/rahul-ramakrishna/;Lacchu;508037;RRR
Varun Buddhadev;/actor/varun-buddhadev/;Young Alluri Sitarama Raju;508037;RRR
Edward Sonnenblick;/actor/edward-sonnenblick/;Edwards;508037;RRR
Ahmareen Anjum;/actor/ahmareen-anjum/;Loki;508037;RRR
Rajiv Kanakala;/actor/rajiv-kanakala/;Venkat Avdhani;508037;RRR
Spandan Chaturvedi;/actor/spandan-chaturvedi/;Young Sita;508037;RRR
Chakri;/actor/chakri-1/;Chinna;508037;RRR
Mark Bennington;/actor/mark-bennington/;Cunningham;508037;RRR
R. Bhakti Klein;/actor/r-bhakti-klein/;DSP Philip Green;508037;RRR
Alexx O'Nell;/actor/alexx-onell/;British officer;508037;RRR
Gaurav Pareek;/actor/gaurav-pareek/;Guri;508037;RRR
Kirron Arya;/actor/kirron-arya/;Bheem's Supporter;508037;RRR
Akash Boro;/actor/akash-boro/;Rama;508037;RRR
Eduard Buhac;/actor/eduard-buhac/;Jake;508037;RRR
Oleh Karpenko;/actor/oleh-karpenko/;Officer Harry;508037;RRR
Ivan Kostadinov;/actor/ivan-kostadinov/;British Army Soldier;508037;RRR
