letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;letterboxd_url;imdb_url;tmdb_url;tmdb_id;release_year;duration;avg_rating
574385;The Unbearable Weight of Massive Talent;The Unbearable Weight of Massive Talent (2022);the-unbearable-weight-of-massive-talent;https://letterboxd.com/film/the-unbearable-weight-of-massive-talent/;http://www.imdb.com/title/tt11291274/maindetails;https://www.themoviedb.org/movie/648579;648579;2022;107;3.43
2685;Unforgiven;Unforgiven (1992);unforgiven;https://letterboxd.com/film/unforgiven/;http://www.imdb.com/title/tt0105695/maindetails;https://www.themoviedb.org/movie/33;33;1992;130;4.20
51986;Twelve Monkeys;Twelve Monkeys (1995);twelve-monkeys;https://letterboxd.com/film/twelve-monkeys/;http://www.imdb.com/title/tt0114746/maindetails;https://www.themoviedb.org/movie/63;63;1995;129;3.88
479814;Free Guy;Free Guy (2021);free-guy;https://letterboxd.com/film/free-guy/;http://www.imdb.com/title/tt6264654/maindetails;https://www.themoviedb.org/movie/550988;550988;2021;115;3.01
47233;Tremors;Tremors (1990);tremors;https://letterboxd.com/film/tremors/;http://www.imdb.com/title/tt0100814/maindetails;https://www.themoviedb.org/movie/9362;9362;1990;96;3.53
465978;Cats;Cats (2019);cats-2019;https://letterboxd.com/film/cats-2019/;http://www.imdb.com/title/tt5697572/maindetails;https://www.themoviedb.org/movie/536869;536869;2019;110;1.25
46087;Child's Play;Child's Play (1988);childs-play;https://letterboxd.com/film/childs-play/;http://www.imdb.com/title/tt0094862/maindetails;https://www.themoviedb.org/movie/10585;10585;1988;87;3.32
47345;The Craft;The Craft (1996);the-craft;https://letterboxd.com/film/the-craft/;http://www.imdb.com/title/tt0115963/maindetails;https://www.themoviedb.org/movie/9100;9100;1996;101;3.57
51387;Evil Dead II;Evil Dead II (1987);evil-dead-ii;https://letterboxd.com/film/evil-dead-ii/;http://www.imdb.com/title/tt0092991/maindetails;https://www.themoviedb.org/movie/765;765;1987;84;4.01
431888;The Mitchells vs. the Machines;The Mitchells vs. the Machines (2021);the-mitchells-vs-the-machines;https://letterboxd.com/film/the-mitchells-vs-the-machines/;http://www.imdb.com/title/tt7979580/maindetails;https://www.themoviedb.org/movie/501929;501929;2021;114;3.84
51157;Point Break;Point Break (1991);point-break;https://letterboxd.com/film/point-break/;http://www.imdb.com/title/tt0102685/maindetails;https://www.themoviedb.org/movie/1089;1089;1991;122;3.76
49632;Flash Gordon;Flash Gordon (1980);flash-gordon-1980;https://letterboxd.com/film/flash-gordon-1980/;http://www.imdb.com/title/tt0080745/maindetails;https://www.themoviedb.org/movie/3604;3604;1980;111;3.24
