film_id;film_title;value
575258;Renfield;Crime, drugs and gangsters
575258;Renfield;Relationship comedy
575258;Renfield;Horror, the undead and monster classics
575258;Renfield;Epic heroes
575258;Renfield;Bloody vampire horror
575258;Renfield;Gags, jokes, and slapstick humor
575258;Renfield;Action comedy and silly heroics
575258;Renfield;Funny jokes and crude humor
575258;Renfield;Spooky, scary comedy
14220;The Man from Nowhere;Thriller
14220;The Man from Nowhere;Action
14220;The Man from Nowhere;Crime
14220;The Man from Nowhere;Crime, drugs and gangsters
14220;The Man from Nowhere;High speed and special ops
14220;The Man from Nowhere;Epic heroes
14220;The Man from Nowhere;Gritty crime and ruthless gangsters
14220;The Man from Nowhere;Violent action, guns, and crime
14220;The Man from Nowhere;Violent crime and drugs
14220;The Man from Nowhere;Intense combat and martial arts
14220;The Man from Nowhere;Explosive and action-packed heroes vs. villains
333448;Isle of Dogs;Comedy
333448;Isle of Dogs;Animation
333448;Isle of Dogs;Adventure
333448;Isle of Dogs;Humanity and the world around us
333448;Isle of Dogs;Crude humor and satire
333448;Isle of Dogs;Emotional and captivating fantasy storytelling
333448;Isle of Dogs;Adorable animals and heartwarming families
333448;Isle of Dogs;Laugh-out-loud relationship entanglements
78266;The Raid;Crime
78266;The Raid;Action
78266;The Raid;Thriller
78266;The Raid;Crime, drugs and gangsters
78266;The Raid;Epic heroes
78266;The Raid;High speed and special ops
78266;The Raid;Intense combat and martial arts
78266;The Raid;Violent action, guns, and crime
78266;The Raid;Explosive and action-packed heroes vs. villains
78266;The Raid;Brutal, violent prison drama
78266;The Raid;Gritty crime and ruthless gangsters
51495;The Usual Suspects;Drama
51495;The Usual Suspects;Crime
51495;The Usual Suspects;Thriller
51495;The Usual Suspects;Crime, drugs and gangsters
51495;The Usual Suspects;Thrillers and murder mysteries
51495;The Usual Suspects;High speed and special ops
51495;The Usual Suspects;Intriguing and suspenseful murder mysteries
51495;The Usual Suspects;Suspenseful crime thrillers
51495;The Usual Suspects;Noir and dark crime dramas
51495;The Usual Suspects;Heists and thrilling action
51495;The Usual Suspects;Gritty crime and ruthless gangsters
50089;Pitch Black;Thriller
50089;Pitch Black;Science Fiction
50089;Pitch Black;Action
50089;Pitch Black;Monsters, aliens, sci-fi and the apocalypse
50089;Pitch Black;Horror, the undead and monster classics
50089;Pitch Black;Sci-fi horror, creatures, and aliens
50089;Pitch Black;Action-packed space and alien sagas
50089;Pitch Black;Twisted dark psychological thriller
50089;Pitch Black;Imaginative space odysseys and alien encounters
50089;Pitch Black;Thought-provoking sci-fi action and future technology
35616;Hard Ticket to Hawaii;Adventure
35616;Hard Ticket to Hawaii;Action
35616;Hard Ticket to Hawaii;High speed and special ops
35616;Hard Ticket to Hawaii;Explosive and action-packed heroes vs. villains
35616;Hard Ticket to Hawaii;Violent action, guns, and crime
680358;X;Thriller
680358;X;Horror
680358;X;Mystery
680358;X;Horror, the undead and monster classics
680358;X;Intense violence and sexual transgression
680358;X;Gory, gruesome, and slasher horror
680358;X;Twisted dark psychological thriller
680358;X;Gothic and eerie haunting horror
680358;X;Challenging or sexual themes & twists
680358;X;Graphic violence and brutal revenge
853822;Pearl;Horror
853822;Pearl;Drama
853822;Pearl;Intense violence and sexual transgression
853822;Pearl;Horror, the undead and monster classics
853822;Pearl;Gory, gruesome, and slasher horror
853822;Pearl;Twisted dark psychological thriller
853822;Pearl;Terrifying, haunted, and supernatural horror
853822;Pearl;Gothic and eerie haunting horror
853822;Pearl;Creepy, chilling, and terrifying horror
922858;MaXXXine;Thriller
922858;MaXXXine;Horror
922858;MaXXXine;Mystery
922858;MaXXXine;Horror, the undead and monster classics
922858;MaXXXine;Thrillers and murder mysteries
922858;MaXXXine;Intense violence and sexual transgression
922858;MaXXXine;Twisted dark psychological thriller
922858;MaXXXine;Gory, gruesome, and slasher horror
922858;MaXXXine;Intriguing and suspenseful murder mysteries
922858;MaXXXine;Suspenseful crime thrillers
922858;MaXXXine;Terrifying, haunted, and supernatural horror
48823;The Fugitive;Drama
48823;The Fugitive;Action
48823;The Fugitive;Thriller
48823;The Fugitive;Thrillers and murder mysteries
48823;The Fugitive;High speed and special ops
48823;The Fugitive;Crime, drugs and gangsters
48823;The Fugitive;Suspenseful crime thrillers
48823;The Fugitive;Intriguing and suspenseful murder mysteries
48823;The Fugitive;Noir and dark crime dramas
48823;The Fugitive;Adrenaline-fueled action and fast cars
48823;The Fugitive;Brutal, violent prison drama
488751;Monkey Man;Thriller
488751;Monkey Man;Action
488751;Monkey Man;Epic heroes
488751;Monkey Man;High speed and special ops
