key;value;link;film_id;film_title
studio;Pulse Films;/studio/pulse-films/;561763;Pig
studio;Saturn Films;/studio/saturn-films/;561763;Pig
studio;Valparaiso Pictures;/studio/valparaiso-pictures/;561763;Pig
studio;BlockBox Entertainment;/studio/blockbox-entertainment/;561763;Pig
studio;Endeavor Content;/studio/endeavor-content/;561763;Pig
country;UK;/films/country/uk/;561763;Pig
country;USA;/films/country/usa/;561763;Pig
language;English;/films/language/english/;561763;Pig
studio;Lyncanthrope Films;/studio/lyncanthrope-films/;51338;An American Werewolf in London
studio;Polygram Pictures;/studio/polygram-pictures/;51338;An American Werewolf in London
country;UK;/films/country/uk/;51338;An American Werewolf in London
country;USA;/films/country/usa/;51338;An American Werewolf in London
language;English;/films/language/english/;51338;An American Werewolf in London
studio;A24;/studio/a24/;591053;Past Lives
studio;Killer Films;/studio/killer-films/;591053;Past Lives
studio;2AM;/studio/2am/;591053;Past Lives
studio;CJ ENM;/studio/cj-enm/;591053;Past Lives
country;USA;/films/country/usa/;591053;Past Lives
country;South Korea;/films/country/south-korea/;591053;Past Lives
language;English;/films/language/english/;591053;Past Lives
language;English;/films/language/english/;591053;Past Lives
language;Korean;/films/language/korean/;591053;Past Lives
studio;Napoleon Pictures;/studio/napoleon-pictures-limited/;47867;Napoleon Dynamite
country;USA;/films/country/usa/;47867;Napoleon Dynamite
language;English;/films/language/english/;47867;Napoleon Dynamite
studio;Legendary Pictures;/studio/legendary-pictures-1/;371378;Dune
country;USA;/films/country/usa/;371378;Dune
language;English;/films/language/english/;371378;Dune
language;Chinese;/films/language/chinese/;371378;Dune
language;English;/films/language/english/;371378;Dune
studio;Legendary Pictures;/studio/legendary-pictures-1/;617443;Dune: Part Two
country;USA;/films/country/usa/;617443;Dune: Part Two
language;English;/films/language/english/;617443;Dune: Part Two
studio;Drafthouse Films;/studio/drafthouse-films/;6838;Miami Connection
country;USA;/films/country/usa/;6838;Miami Connection
country;Hong Kong;/films/country/hong-kong/;6838;Miami Connection
language;English;/films/language/english/;6838;Miami Connection
studio;Skybound Entertainment;/studio/skybound-entertainment/;575258;Renfield
studio;Universal Pictures;/studio/universal-pictures/;575258;Renfield
studio;Giant Wildcat;/studio/giant-wildcat/;575258;Renfield
country;USA;/films/country/usa/;575258;Renfield
language;English;/films/language/english/;575258;Renfield
language;English;/films/language/english/;575258;Renfield
language;Thai;/films/language/thai/;575258;Renfield
studio;Opus Pictures;/studio/opus-pictures/;14220;The Man from Nowhere
studio;CJ Entertainment;/studio/cj-entertainment/;14220;The Man from Nowhere
studio;United Pictures;/studio/united-pictures-2/;14220;The Man from Nowhere
studio;M-Line Distribution;/studio/m-line-distribution/;14220;The Man from Nowhere
country;South Korea;/films/country/south-korea/;14220;The Man from Nowhere
language;Korean;/films/language/korean/;14220;The Man from Nowhere
language;English;/films/language/english/;14220;The Man from Nowhere
language;Korean;/films/language/korean/;14220;The Man from Nowhere
studio;Studio Babelsberg;/studio/studio-babelsberg/;333448;Isle of Dogs
